PR Number,PR Title,PR URL,Labels
36084,Update Storage RP api-version 2025-01-01 to fix bugs causing SDK broken,https://github.com/Azure/azure-rest-api-specs/pull/36084,Storage+ARMReview+resource-manager+RPaaS+BreakingChange-JavaScript-Sdk+brownfield
34069,[TSP Migration] Migrate healthbot from swagger to TypeSpec,https://github.com/Azure/azure-rest-api-specs/pull/34069,ARMReview+resource-manager+RPaaS+BreakingChangeReviewRequired+TypeSpec+BreakingChange-Go-Sdk+BreakingChange-JavaScript-Sdk+BreakingChange-Python-Sdk+NotReadyForARMReview+typespec-conversion-w1
36255,Repro TCGC vs OAV discrepancy,https://github.com/Azure/azure-rest-api-specs/pull/36255,data-plane+RPaaS+TypeSpec
35478,bc testing,https://github.com/Azure/azure-rest-api-specs/pull/35478,API Management+Approved-Avocado+resource-manager+BreakingChangeReviewRequired+BreakingChange-Approved-Benign+PipelineBotTrigger+brownfield
36260,[oav-runner] Handle error if dir containing example is deleted,https://github.com/Azure/azure-rest-api-specs/pull/36260,
35632,Martinpf containerregistry microsoft.container registry 2025 06 01 preview update2,https://github.com/Azure/azure-rest-api-specs/pull/35632,Container Registry+WaitForARMFeedback+ARMChangesRequested+Approved-Avocado+ARMReview+resource-manager+BreakingChangeReviewRequired+new-api-version+BreakingChange-Approved-UserImpact+brownfield
36258,Monitor Metrics Query Java Updates,https://github.com/Azure/azure-rest-api-specs/pull/36258,Monitor+TypeSpec
35922,test breaking change cross version,https://github.com/Azure/azure-rest-api-specs/pull/35922,resource-manager+RPaaS+BreakingChangeReviewRequired+BreakingChange-Approved-BugFix+PipelineBotTrigger+brownfield
36009,Rhurey/vl specs,https://github.com/Azure/azure-rest-api-specs/pull/36009,data-plane+TypeSpec
35946,"Azure.AI.Projects: Rename some SDK classes and variables, to support stable release of the SDKs",https://github.com/Azure/azure-rest-api-specs/pull/35946,data-plane+BreakingChangeReviewRequired+TypeSpec+PipelineBotTrigger
35817,Convert data protection,https://github.com/Azure/azure-rest-api-specs/pull/35817,resource-manager+BreakingChangeReviewRequired+TypeSpec+BreakingChange-Python-Sdk+PipelineBotTrigger
36192,Some pending fixes to breaking change checks,https://github.com/Azure/azure-rest-api-specs/pull/36192,PipelineBotTrigger
36259,Sync eng/common directory with azure-sdk-tools for PR 11373,https://github.com/Azure/azure-rest-api-specs/pull/36259,EngSys+Central-EngSys
36245,Sync eng/common directory with azure-sdk-tools for PR 11365,https://github.com/Azure/azure-rest-api-specs/pull/36245,EngSys+Central-EngSys
36207,Add 2025-07-01-preview API version to Azure Fleet,https://github.com/Azure/azure-rest-api-specs/pull/36207,WaitForARMFeedback+ARMReview+resource-manager+new-api-version+TypeSpec+PipelineBotTrigger+PublishToCustomers
36097,"avs, mgmt, remove operationId",https://github.com/Azure/azure-rest-api-specs/pull/36097,WaitForARMFeedback+ARMReview+resource-manager+TypeSpec+BreakingChange-Python-Sdk-Approved+BreakingChange-Python-Sdk
35949,[hybridkubernetes] [Microsoft.Kubernetes] add preview version 2025-08-01-preview,https://github.com/Azure/azure-rest-api-specs/pull/35949,ARMSignedOff+ARMReview+resource-manager+RPaaS+BreakingChangeReviewRequired+new-api-version+TypeSpec+BreakingChange-Approved-Benign
36256,Users/julyckla/microsoft healthcare apis preview 2025 10 01,https://github.com/Azure/azure-rest-api-specs/pull/36256,resource-manager+brownfield
36110,New Disconnected Operations API,https://github.com/Azure/azure-rest-api-specs/pull/36110,WaitForARMFeedback+ARMReview+resource-manager+RPaaS+SuppressionReviewRequired+new-api-version+TypeSpec+PipelineBotTrigger+PublishToCustomers
36253,Add Read Receipts and Typing Indicators for ACS Advanced Messaging,https://github.com/Azure/azure-rest-api-specs/pull/36253,DataPlane+data-plane+TypeSpec
36115,Unified Evaluation API Spec (Version upgrade),https://github.com/Azure/azure-rest-api-specs/pull/36115,data-plane+new-api-version+TypeSpec+VersioningReviewRequired+PipelineBotTrigger
36250,Adding users and groups,https://github.com/Azure/azure-rest-api-specs/pull/36250,WaitForARMFeedback+ARMReview+resource-manager+new-api-version+TypeSpec+PipelineBotTrigger
34871,[app config] migrate to new c# generator,https://github.com/Azure/azure-rest-api-specs/pull/34871,TypeSpec
35792,[Conv authoring] Add one import json string 20250515preview,https://github.com/Azure/azure-rest-api-specs/pull/35792,Cognitive Services+data-plane+TypeSpec+Versioning-Approved-Benign+VersioningReviewRequired+PublishToCustomers
31161,[Language] Restructure Language swagger files,https://github.com/Azure/azure-rest-api-specs/pull/31161,Cognitive Services+data-plane+Cognitive - Language+BreakingChangeReviewRequired+SuppressionReviewRequired+new-api-version+TypeSpec+BreakingChange-Approved-Benign+PublishToCustomers
35840,[Text Authoring] remove new properties 20250515preview,https://github.com/Azure/azure-rest-api-specs/pull/35840,Cognitive Services+data-plane+TypeSpec+Versioning-Approved-Benign+VersioningReviewRequired+PublishToCustomers
36252,[TypeSpec] Add Liftr-ElasticAzure Service Specification for 2025-06-30-preview,https://github.com/Azure/azure-rest-api-specs/pull/36252,Compute+Network+Storage+KeyVault+Service Fabric+Data Lake Analytics+Batch+Analysis Services+Network - CDN+Container Registry+Customer Insights+Devtestlab+Cognitive Services+Authorization+Event Hubs+Logic App+Machine Learning+Media Services+Notification Hub+Monitor - Operational Insights+Recovery Services Backup+Redis Cache+Scheduler+Search+Insights+Relay+Service Bus+Intune+HDInsight+Automation+API Management+SQL+Monitor+Operations Management+Data Factory+BatchAI+Billing+Container Instances+Cosmos+Data Migration+Event Grid+Import Export+Mobile Engagement+MySQL+Policy Insights+PostgreSQL+Recovery Services Site-Recovery+Service Map+Storsimple+Stream Analytics+TimeseriesInsights+Data Lake Store+Machine Learning Compute+Profile+Network - DNS+Network - Traffic Manager+Subscription+Web Apps+StorageSync+Alerts Management+Peering+Container Service+IoTHub+Synapses+Purview+RecoveryServices+Load Test Service+Device Update+Maps+Cognitive - Language+ArcReview+Monitor - Exporter+Container Service Fleet
35925,Introducing Secure key wrap and unwrap functionality,https://github.com/Azure/azure-rest-api-specs/pull/35925,KeyVault+data-plane+new-api-version+TypeSpec
36248,[TypeSpec] Create Liftr - Elastic Azure Integration specification for SDK generation,https://github.com/Azure/azure-rest-api-specs/pull/36248,Compute+Network+Storage+KeyVault+Service Fabric+Data Lake Analytics+Batch+Analysis Services+Network - CDN+Container Registry+Customer Insights+Devtestlab+Cognitive Services+Authorization+Event Hubs+Logic App+Machine Learning+Media Services+Notification Hub+Monitor - Operational Insights+Recovery Services Backup+Redis Cache+Scheduler+Search+Insights+Relay+Service Bus+Intune+HDInsight+Automation+API Management+SQL+Monitor+Operations Management+Data Factory+BatchAI+Billing+Container Instances+Cosmos+Data Migration+Event Grid+Import Export+Mobile Engagement+MySQL+Policy Insights+PostgreSQL+Recovery Services Site-Recovery+Service Map+Storsimple+Stream Analytics+TimeseriesInsights+Data Lake Store+Machine Learning Compute+Profile+Network - DNS+Network - Traffic Manager+Subscription+Web Apps+StorageSync+Alerts Management+Peering+Container Service+IoTHub+Synapses+Purview+RecoveryServices+Load Test Service+Device Update+Maps+Cognitive - Language+ArcReview+Monitor - Exporter+Container Service Fleet
36246,Multiple `summarize` logic updates / fixes,https://github.com/Azure/azure-rest-api-specs/pull/36246,
35669,Block Capacity Reservation Swagger Updates,https://github.com/Azure/azure-rest-api-specs/pull/35669,Compute+Model Validation+Approved-LintDiff+resource-manager+brownfield+waitingforarmfeedback
35590,Add instructions for copilot REST API reviews,https://github.com/Azure/azure-rest-api-specs/pull/35590,PipelineBotTrigger
35265,Microsoft.NetworkCloud 2025-07-01-preview public release,https://github.com/Azure/azure-rest-api-specs/pull/35265,ARMSignedOff+ARMReview+resource-manager+ReadyForApiTest+RPaaS+BreakingChangeReviewRequired+new-api-version+BreakingChange-Approved-Previously+brownfield
35345,Cognitive Services 2025-07-01-preview,https://github.com/Azure/azure-rest-api-specs/pull/35345,Cognitive Services+WaitForARMFeedback+ARMReview+resource-manager+new-api-version+PipelineBotTrigger+PublishToCustomers+brownfield
35759,Release search azure.search preview/2025-08-01-preview,https://github.com/Azure/azure-rest-api-specs/pull/35759,Search+data-plane+BreakingChangeReviewRequired+new-api-version+PipelineBotTrigger+PublishToCustomers+brownfield+offline-review-requested
35243,[TSP Migration][redis] TypeSpec migrated from swagger,https://github.com/Azure/azure-rest-api-specs/pull/35243,Redis Cache+ARMReview+resource-manager+BreakingChangeReviewRequired+TypeSpec+BreakingChange-Go-Sdk+BreakingChange-JavaScript-Sdk+BreakingChange-Python-Sdk+NotReadyForARMReview+PipelineBotTrigger+typespec-conversion-w2
36231,Saro capacity blocks,https://github.com/Azure/azure-rest-api-specs/pull/36231,Compute
36232,Backup saro capacity blocks,https://github.com/Azure/azure-rest-api-specs/pull/36232,Compute+resource-manager+brownfield
36244,[NetApp] Release microsoft.net app 2025-06-01,https://github.com/Azure/azure-rest-api-specs/pull/36244,WaitForARMFeedback+ARMReview+resource-manager+new-api-version+BreakingChange-JavaScript-Sdk+brownfield
36098,[Microsoft.Migrate] [2024-03-03-preview] Making swagger and typespec consistent.,https://github.com/Azure/azure-rest-api-specs/pull/36098,ARMReview+resource-manager+SuppressionReviewRequired+TypeSpec+AzCoreIDC+Versioning-Approved-Benign+VersioningReviewRequired+PipelineBotTrigger
36177,[tsp] fully qualify `Legacy` namespace,https://github.com/Azure/azure-rest-api-specs/pull/36177,TypeSpec+BreakingChange-Python-Sdk
36219,Review request for Microsoft.DBforPostgreSQL to add version stable/2025-08-01,https://github.com/Azure/azure-rest-api-specs/pull/36219,PostgreSQL+ARMReview+resource-manager+BreakingChangeReviewRequired+new-api-version+BreakingChange-Approved-Previously+NotReadyForARMReview+brownfield
35874,Converted OpenAPI specs to TypeSpec,https://github.com/Azure/azure-rest-api-specs/pull/35874,linter-issues+Semantic Validation+LintRuleCandidate+Approved-Avocado+Approved-LintDiff+Approved-SemanticValidation+data-plane+Approved-Suppression+new-api-version+TypeSpec+PipelineBotTrigger+PublishToCustomers+BreakingChange-LintDiff
36135,Introduce first Public Preview API version for microsoft.fileshares (2025-06-01-preview),https://github.com/Azure/azure-rest-api-specs/pull/36135,ARMReview+resource-manager+SuppressionReviewRequired+new-api-version+new-rp-namespace+CI-RpaaSRPNotInPrivateRepo+TypeSpec+NotReadyForARMReview+PipelineBotTrigger
34662,fleet sdk gen,https://github.com/Azure/azure-rest-api-specs/pull/34662,resource-manager+TypeSpec+BreakingChange-Go-Sdk+BreakingChange-JavaScript-Sdk+BreakingChange-Python-Sdk
36179,Made .net required for typespec case only,https://github.com/Azure/azure-rest-api-specs/pull/36179,
36161,[DO NOT MERGE] Staging PR for future blue green swagger changes ,https://github.com/Azure/azure-rest-api-specs/pull/36161,Container Service+resource-manager+brownfield
35666,Review request for Microsoft.ContainerService/aks to add version preview/2025-06-02-preview,https://github.com/Azure/azure-rest-api-specs/pull/35666,ARMSignedOff+Container Service+ARMReview+resource-manager+BreakingChangeReviewRequired+new-api-version+BreakingChange-Approved-Previously+PipelineBotTrigger+PublishToCustomers+brownfield
36142,[Devex Agent] Ignore changes in .gitignore,https://github.com/Azure/azure-rest-api-specs/pull/36142,
35970,Release alert microsoft.alerts management preview/2025 05 25 preview (2),https://github.com/Azure/azure-rest-api-specs/pull/35970,ARMSignedOff+Alerts Management+Approved-Avocado+ARMReview+resource-manager+BreakingChangeReviewRequired+Approved-Suppression+SuppressionReviewRequired+new-api-version+BreakingChange-Approved-Previously+PublishToCustomers+brownfield
36063,added 2025-09-01 stable version for AFD Origin Shield feature,https://github.com/Azure/azure-rest-api-specs/pull/36063,Network - CDN+WaitForARMFeedback+ARMReview+resource-manager+new-api-version+BreakingChange-JavaScript-Sdk+brownfield
36224,[LintDiff] Use changed files,https://github.com/Azure/azure-rest-api-specs/pull/36224,resource-manager+RPaaS+TypeSpec
36240,[TSP migration] Migrate relay to TypeSpec,https://github.com/Azure/azure-rest-api-specs/pull/36240,Relay+resource-manager+BreakingChangeReviewRequired+TypeSpec+BreakingChange-Go-Sdk+BreakingChange-JavaScript-Sdk
34145,New Azure AI Agents,https://github.com/Azure/azure-rest-api-specs/pull/34145,data-plane+new-api-version+TypeSpec+no-recent-activity+PipelineBotTrigger
34163,Microsoft.Migrate Seperating out operations API,https://github.com/Azure/azure-rest-api-specs/pull/34163,ARMSignedOff+ARMReview+resource-manager+ReadyForApiTest+TypeSpec+AzCoreIDC+no-recent-activity+Versioning-Approved-BugFix+VersioningReviewRequired+PipelineBotTrigger+PublishToCustomers+ARMAutoSignedOff
34217,Deprecation of Predict API - ADVISOR,https://github.com/Azure/azure-rest-api-specs/pull/34217,ARMSignedOff+ARMReview+resource-manager+BreakingChangeReviewRequired+new-api-version+no-recent-activity+BreakingChange-Approved-UserImpact+brownfield
34390,Replace OpenAI page with pageable,https://github.com/Azure/azure-rest-api-specs/pull/34390,data-plane+TypeSpec+no-recent-activity+PipelineBotTrigger
34614,Join VectorStore clients,https://github.com/Azure/azure-rest-api-specs/pull/34614,TypeSpec+no-recent-activity
34844,Added conditional headers to Get and Set Blob Tags,https://github.com/Azure/azure-rest-api-specs/pull/34844,Storage+data-plane+no-recent-activity+brownfield
34937,Add ARM TypeSpec migration instructions,https://github.com/Azure/azure-rest-api-specs/pull/34937,no-recent-activity+PipelineBotTrigger
34994,Queue User Delegation SAS,https://github.com/Azure/azure-rest-api-specs/pull/34994,Storage+data-plane+no-recent-activity+brownfield
35070,Added new example request and response files,https://github.com/Azure/azure-rest-api-specs/pull/35070,data-plane+no-recent-activity
35248,[Liftr Neon] Update Regex for Branch Name,https://github.com/Azure/azure-rest-api-specs/pull/35248,ARMReview+resource-manager+ReadyForApiTest+RPaaS+BreakingChangeReviewRequired+TypeSpec+no-recent-activity+BreakingChange-Go-Sdk+BreakingChange-JavaScript-Sdk+NotReadyForARMReview+PipelineBotTrigger
35426,Merge RedTeams with Evaluations,https://github.com/Azure/azure-rest-api-specs/pull/35426,TypeSpec+no-recent-activity
35436,Sync: specification/touchcast from private repo,https://github.com/Azure/azure-rest-api-specs/pull/35436,ARMReview+resource-manager+RPaaS+new-api-version+new-rp-namespace+CI-RpaaSRPNotInPrivateRepo+TypeSpec+no-recent-activity+NotReadyForARMReview
36243,Repro bug,https://github.com/Azure/azure-rest-api-specs/pull/36243,TypeSpec
36242,Cp malt mpt integration stable,https://github.com/Azure/azure-rest-api-specs/pull/36242,Load Test Service+resource-manager+RPaaS+TypeSpec+VersioningReviewRequired
36241,"java, mgmt, Release Planner Test Product , client",https://github.com/Azure/azure-rest-api-specs/pull/36241,TypeSpec
36033,[python][compute] Update readme.python.md to convert to singleapi package,https://github.com/Azure/azure-rest-api-specs/pull/36033,Compute+resource-manager+BreakingChange-JavaScript-Sdk+PipelineBotTrigger
35895,[Typespec Migration] migrate mysql-flexible to typespec,https://github.com/Azure/azure-rest-api-specs/pull/35895,MySQL+resource-manager+TypeSpec+VersioningReviewRequired
35463,"mgmt, signalr, convert to TypeSpec",https://github.com/Azure/azure-rest-api-specs/pull/35463,ARMReview+resource-manager+TypeSpec+VersioningReviewRequired+NotReadyForARMReview+typespec-conversion-w2
36107,[cdn] migrate to typespec from swagger,https://github.com/Azure/azure-rest-api-specs/pull/36107,Network - CDN+resource-manager+TypeSpec+VersioningReviewRequired+BreakingChange-JavaScript-Sdk+BreakingChange-Python-Sdk
36239,"java mgmt, add directive to fix search",https://github.com/Azure/azure-rest-api-specs/pull/36239,Search+WaitForARMFeedback+ARMReview+resource-manager
35842,[OffAzure] Site model changes to merge DR and Migrate scenarios,https://github.com/Azure/azure-rest-api-specs/pull/35842,WaitForARMFeedback+ARMReview+resource-manager+new-api-version+AzCoreIDC+PipelineBotTrigger+brownfield
36029,[Swagger to TSP conversion] [mgmt] msi,https://github.com/Azure/azure-rest-api-specs/pull/36029,ARMReview+resource-manager+BreakingChangeReviewRequired+TypeSpec+BreakingChange-JavaScript-Sdk+BreakingChange-Python-Sdk+NotReadyForARMReview+PipelineBotTrigger+typespec-conversion-w2
32212,Add ArcScope Support to ServerSites and SqlSite of Migrate RP and add support for Security Insights to Migrate Discovery - API v2024-12-01-preview,https://github.com/Azure/azure-rest-api-specs/pull/32212,ARMSignedOff+DoNotMerge+ARMReview+resource-manager+ReadyForApiTest+new-api-version+AzCoreIDC+brownfield
36233,"mgmt, java, config nginx SDK",https://github.com/Azure/azure-rest-api-specs/pull/36233,TypeSpec
36039,RecommenderRP TypeSpec Conversion for version 20250605,https://github.com/Azure/azure-rest-api-specs/pull/36039,Compute+ARMChangesRequested+ARMReview+resource-manager+TypeSpec+PublishToCustomers
36061,[workloadorchestration] update tsp config,https://github.com/Azure/azure-rest-api-specs/pull/36061,TypeSpec
